File,Link
amazon-sagemaker-toolkits.md, https://drive.google.com/file/d/1DT8Vq7MoWbDKRtb7MRx_CyyvG9WbfzY7/view?usp=drive_link
asff-resourcedetails-awssagemaker.md, https://drive.google.com/file/d/1RWIaSXU7xl83-PUw4UAxNQga40ZgLvzd/view?usp=drive_link
automating-sagemaker-with-eventbridge.md, https://drive.google.com/file/d/1KB7mRpNP-mM9EkaDXprG8r1Sef8Sd8oL/view?usp=drive_link
aws-properties-events-rule-sagemakerpipelineparameter.md, https://drive.google.com/file/d/13SHVCWehepW2NnjOdsYwe_tjsExuxlij/view?usp=drive_link
aws-properties-events-rule-sagemakerpipelineparameters.md, https://drive.google.com/file/d/1Y_UfFRkElQj22ke42fQIFLGSCEE-OT_-/view?usp=drive_link
aws-properties-greengrass-resourcedefinition-sagemakermachinelearningmodelresourcedata.md, https://drive.google.com/file/d/1ajsSEy1VWQKi2JB7_fmB2N2CBIrkNSmk/view?usp=drive_link
aws-properties-greengrass-resourcedefinitionversion-sagemakermachinelearningmodelresourcedata.md, https://drive.google.com/file/d/1vakYZRyulVzF8QbM4pxs9-ggI5l3w-DK/view?usp=drive_link
aws-properties-pipes-pipe-pipetargetsagemakerpipelineparameters.md, https://drive.google.com/file/d/1oUG2MBgH-q0a6qHNI5r4O5Q3kIwdSb-I/view?usp=drive_link
aws-properties-pipes-pipe-sagemakerpipelineparameter.md, https://drive.google.com/file/d/1itlCuDr2f2nSBlu2Lx8mT2bHhqSHaCaH/view?usp=drive_link
aws-properties-sagemaker-appimageconfig-filesystemconfig.md, https://drive.google.com/file/d/16_NQAZa4QarnikDO3Ec_asRfreBAlpmF/view?usp=drive_link
aws-properties-sagemaker-appimageconfig-kernelgatewayimageconfig.md, https://drive.google.com/file/d/1kMVblRXolgvFHq3xKrWjTFOnmnR2OfsR/view?usp=drive_link
aws-properties-sagemaker-appimageconfig-kernelspec.md, https://drive.google.com/file/d/1Ju_oL3QtsQwRpfTZzJjIhsPhzbJqf1IG/view?usp=drive_link
aws-properties-sagemaker-app-resourcespec.md, https://drive.google.com/file/d/1Zw38gtpD_PVx1xaN3mSI9uJqj6c2OsU5/view?usp=drive_link
aws-properties-sagemaker-coderepository-gitconfig.md, https://drive.google.com/file/d/1vbZT37oWNEi8hFM3Ak-6RO0ff1dHBM2M/view?usp=drive_link
aws-properties-sagemaker-dataqualityjobdefinition-batchtransforminput.md, https://drive.google.com/file/d/1zaamHXg9FNabZ0deEyUSS6o7FCqBc1VI/view?usp=drive_link
aws-properties-sagemaker-dataqualityjobdefinition-clusterconfig.md, https://drive.google.com/file/d/1hFS8_xdmDy6jQ7EzSVrX5gThgFVrJDb_/view?usp=drive_link
aws-properties-sagemaker-dataqualityjobdefinition-constraintsresource.md, https://drive.google.com/file/d/1rnk6Mwhcjb4i9LWmLIWL5XdSHFTHk9I6/view?usp=drive_link
aws-properties-sagemaker-dataqualityjobdefinition-csv.md, https://drive.google.com/file/d/1l1xP6L48CmbEs7Ki6_F8RwOskKOq60SL/view?usp=drive_link
aws-properties-sagemaker-dataqualityjobdefinition-dataqualityappspecification.md, https://drive.google.com/file/d/17uG0DumcgRaLvSxCEWkp2jO2riWAZZqd/view?usp=drive_link
aws-properties-sagemaker-dataqualityjobdefinition-dataqualitybaselineconfig.md, https://drive.google.com/file/d/17vzU-UgHW1F4p-a77CuHs4-6pIya5fAt/view?usp=drive_link
aws-properties-sagemaker-dataqualityjobdefinition-dataqualityjobinput.md, https://drive.google.com/file/d/1oqjQLZVsK_ne-lgrNDB0hHnXMyIEef5I/view?usp=drive_link
aws-properties-sagemaker-dataqualityjobdefinition-datasetformat.md, https://drive.google.com/file/d/1C5-fEMUp4e7Yevcx4VhTOSF2GLJFnBMP/view?usp=drive_link
aws-properties-sagemaker-dataqualityjobdefinition-endpointinput.md, https://drive.google.com/file/d/1gdJ3QnAhWVIja7s3sCVudaa0EJZ4xAaB/view?usp=drive_link
aws-properties-sagemaker-dataqualityjobdefinition-json.md, https://drive.google.com/file/d/145AI48oVKX08dPpYOgN9OKFoSQdAHCd1/view?usp=drive_link
aws-properties-sagemaker-dataqualityjobdefinition-monitoringoutput.md, https://drive.google.com/file/d/1kFlYhyzwxE2hG5Rg1iKKJEPqphKHIKSf/view?usp=drive_link
aws-properties-sagemaker-dataqualityjobdefinition-monitoringoutputconfig.md, https://drive.google.com/file/d/1Atbt6zkplnmMOW0NUvOLvVe77srHr52V/view?usp=drive_link
aws-properties-sagemaker-dataqualityjobdefinition-monitoringresources.md, https://drive.google.com/file/d/1nO7h7vQ-43orANr5-clmuMV-xzH5L68c/view?usp=drive_link
